Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
3-gatsu no Lion,TV,22,Finished Airing,2016-10-8,2017-3-18,Fall,Saturdays at 23:00 (JST),"Aniplex,Dentsu,NHK,Hakusensha,Asmik Ace Entertainment,Toy's Factory",Aniplex of America,Shaft,Manga,"Game,Slice of Life,Drama,Seinen",25 min. per ep.,PG-13,8.43,63979,186639,3767,"Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall.

However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei's loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions.

[Written by MAL Rewrite]"
Boku no Hero Academia,TV,13,Finished Airing,2016-4-3,2016-6-26,Spring,Sundays at 17:00 (JST),"Dentsu,Mainichi Broadcasting System,Movic,TOHO animation,Shueisha",Funimation,Bones,Manga,"Action,Comedy,School,Shounen,Super Power",24 min. per ep.,PG-13,8.43,475605,735530,18491,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

[Written by MAL Rewrite]"
Doukyuusei (Movie),Movie,1,Finished Airing,2016-2-20,-,-,-,"Aniplex,Half H.P Studio",Aniplex of America,A-1 Pictures,Manga,"Slice of Life,Romance,School,Shounen Ai",1 hr.,PG-13,8.43,30759,64112,1514,"Rihito Sajou is an honor student who got perfect scores in every subject on his high school entrance exam. Hikaru Kusakabe plays guitar in his band that performs at live events and is popular among the girls. These boys would have never crossed paths. But one day Hikaru offers to help Rihito prepare for their upcoming chorus festival and the two begin to talk. As the two meet after school, they feel one another's sound, listen to each other's voice, and begin to harmonize as their hearts beat together.

It starts out slow but soon their feelings for one another grow and in just one moment they both realize that it is love. Hikaru's emotions are frivolous, pure, and direct causing Rihito to hesitate at first, but he gradually opens his heart. The boys are learning about each other as they also learn about themselves and support one another during this difficult time typical to youth. As the time to start thinking about their futures approaches, what do these young men find as they try to move forward...

(Source: Aniplex USA)"
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,Finished Airing,2017-10-14,-,-,-,"Aniplex,Notes",Aniplex of America,ufotable,Visual novel,"Action,Fantasy,Magic,Supernatural",2 hr.,R,8.43,8087,98539,551,"The Holy Grail War: a violent battle between mages in which seven masters and their summoned servants fight for the Holy Grail, a magical artifact that can grant the victor any wish. Nearly 10 years ago, the final battle of the Fourth Holy Grail War wreaked havoc on Fuyuki City and took over 500 lives, leaving the city devastated. 

Shirou Emiya, a survivor of this tragedy, aspires to become a hero of justice like his rescuer and adoptive father, Kiritsugu Emiya. Despite only being a student, Shirou is thrown into the Fifth Holy Grail War when he accidentally sees a battle between servants at school and summons his own servant, Saber. 

When a mysterious shadow begins a murderous spree in Fuyuki City, Shirou aligns himself with Rin Toosaka, a fellow participant in the Holy Grail War, in order to stop the deaths of countless people. However, Shirou's feelings for his close friend Sakura Matou lead him deeper into the dark secrets surrounding the war and the feuding families involved.

[Written by MAL Rewrite]"
Kemono no Souja Erin,TV,50,Finished Airing,2009-1-10,2009-12-26,Winter,-,NHK,-,"Production I.G,Trans Arts",Novel,"Drama,Fantasy,Slice of Life",25 min. per ep.,PG-13,8.43,12179,48681,1089,"In the land of Ryoza, the neighboring provinces of Shin-Ou and Tai-Kou have been at peace. Queen Shinou is the ruler of Ryoza and her greatest general, Grand Duke Taikou, defends the kingdom with his army of powerful war-lizards known as the ""Touda."" Although the two regions have enjoyed a long-standing alliance, mounting tensions threaten to spark a fierce civil war.

Within Ake, a village in Tai-Kou tasked with raising the Grand Duke’s army, lives Erin, a bright girl who spends her days watching the work of her mother Soyon, the village’s head Touda doctor. But while under Soyon's care, a disastrous incident befalls the Grand Duke's strongest Touda, and the peace that Erin and her mother had been enjoying vanishes as Soyon is punished severely. In a desperate attempt to save her mother, Erin ends up falling in a river and is swept towards Shin-Ou.

Unable to return home, Erin must learn to lead a new life with completely different people, all while hunting for the truth of both beasts and humanity itself, with tensions between the two regions constantly escalating.

[Written by MAL Rewrite]"
Megalo Box,TV,13,Currently Airing,2018-4-6,-,Spring,Fridays at 01:28 (JST),-,-,TMS Entertainment,Original,"Action,Slice of Life,Sports,Drama,Shounen",24 min. per ep.,R,8.43,9652,64180,143,"Ashita no Joe 50th anniversary project. 

JD (Junk Dog) participates in fixed boxing matches in an underground ring in order to live. Today, he enters the ring again, but he encounters a certain person. JD wants to take on a challenge that risks everything.

Source: ANN"
Ookami to Koushinryou II,TV,12,Finished Airing,2009-7-9,2009-9-24,Summer,-,"Imagin,flying DOG",Funimation,"Brain's Base,Marvy Jack",Light novel,"Adventure,Historical,Romance,Fantasy",24 min. per ep.,PG-13,8.43,159676,272629,3162,"Traveling merchant Kraft Lawrence continues his northward journey with wolf goddess Holo, in search of her lost home of Yoitsu. Lawrence and his sharp-witted partner continue to make some small profits along the way, while slowly uncovering more information about Holo's hometown. However, the road to Yoitsu is a bumpy one filled with many troubles—Lawrence runs into a charming young fellow merchant who has his eyes set on the female wolf companion, and he begins to doubt if Holo will remain by his side; he and the goddess will also have to consider precarious and risky business deals as Lawrence strives to achieve his dream of becoming a shopowner. All the while, with his determination tested at every turn during his journey, Lawrence must question his relationship with Holo, take on business ventures, and ask himself whether it is time for him and Holo to go their separate ways.

[Written by MAL Rewrite]"
Diamond no Ace: Second Season,TV,51,Finished Airing,2015-4-6,2016-3-28,Spring,Mondays at 18:00 (JST),"TV Tokyo,Sotsu",-,"Production I.G,Madhouse",Manga,"Comedy,Sports,School,Shounen",24 min. per ep.,PG-13,8.42,28869,56825,606,"After the National Tournament, the Seidou High baseball team moves forward with uncertainty as the Fall season quickly approaches. In an attempt to build a stronger team centered around their new captain, fresh faces join the starting roster for the very first time. Previous losses weigh heavily on the minds of the veteran players as they continue their rigorous training, preparing for what will inevitably be their toughest season yet.

Rivals both new and old stand in their path as Seidou once again climbs their way toward the top, one game at a time. Needed now more than ever before, Furuya and Eijun must be determined to pitch with all their skill and strength in order to lead their team to victory. And this time, one of these young pitchers may finally claim that coveted title: ""The Ace of Seidou.""

[Written by MAL Rewrite]"
Girls & Panzer Movie,Movie,1,Finished Airing,2015-11-21,-,-,-,"Bandai Visual,Lantis,Movic,Showgate,Graphinica,Q-Tec,Hakuhodo DY Music & Pictures,Hakuhodo DY Media Partners",Sentai Filmworks,Actas,Original,"Sports,Military,School",2 hr.,PG-13,8.42,22123,44646,739,"Sometime after the 63rd senshadou tournament, the Japanese Ministry of Education decides to move forward with its plan to decommission Ooarai Girls High School despite their recent triumph in the championship. In order to keep the school open, Miho and her team must win a match against a university senshadou team. For this difficult battle, Miho and the others count with the help of their friends from the other schools they previously faced, as well as assistance from new friends from the Chihatan Academy and Keizoku High School. Together, they will join forces to save Ooarai.

(Source: Wikipedia)"
Noragami Aragoto,TV,13,Finished Airing,2015-10-3,2015-12-26,Fall,Saturdays at 01:05 (JST),"Dentsu,Shochiku,Kodansha,Ai Addiction,Avex Pictures,A-Sketch",Funimation,Bones,Manga,"Action,Adventure,Comedy,Supernatural,Shounen",24 min. per ep.,PG-13,8.42,317284,532173,6972,"Yato and Yukine have finally mended their relationship as god and Regalia, and everyone has returned to their daily life. Yato remains a minor and unknown deity who continues taking odd jobs for five yen apiece in the hopes of one day having millions of worshippers and his own grand shrine. Hiyori Iki has yet to have her loose soul fixed by Yato, but she enjoys life and prepares to attend high school nonetheless.

Taking place immediately after the first season, Noragami Aragoto delves into the complicated past between Yato and the god of war Bishamon. The female god holds a mysterious grudge against Yato, which often results in violent clashes between them. It doesn't help that Bishamon's most trusted and beloved Regalia, Kazuma, appears to be indebted to Yato. When lives are on the line, unraveling these mysteries and others may be the only way to correct past mistakes.

[Written by MAL Rewrite]"
